id,x,y,park_id,name,address,zip,acres,opened,status,type,img,web
203,-97.78531378,30.42817851,131,Canyon Vista Pool,"8455 Spicewood Springs Rd., Austin, Texas 78750",78750,0.47907723,,Open_Restricted,Special,no.jpg,https://www.austinparks.org/parks/
204,-97.74232887,30.1874404,153,Dove Springs District Park,"5801 Ainez Dr., Austin, Texas 78744",78744,72.42885468,,Open,District,no.jpg,https://www.austinparks.org/parks/
205,-97.71502709,30.34129112,118,Crestland Triangle,"715 W Crestland Dr., Austin, Texas 78752",78752,0.45698748,,Open,Planting Strips/Triangles,no.jpg,https://www.austinparks.org/parks/
206,-97.71746637,30.24250814,292,Central Maintenance Complex at Town Lake Metro Park,"2525 S Lakeshore Blvd., Austin, Texas 78741",78741,9.21592622,,Open_Restricted,Special,no.jpg,https://www.austinparks.org/parks/
207,-97.71733317,30.2771554,135,Chestnut Pocket Park,"2207 E 16th St., Austin, Texas 78702",78702,0.62710122,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
208,-97.75578326,30.26049103,359,Dougherty Arts Center,"1110 Barton Springs Rd., Austin, Texas 78704",78704,2.3400354,,Open,Special,no.jpg,https://www.austinparks.org/parks/
209,-97.68921524,30.23899982,137,Civitan Neighborhood Park,"513 Vargas Rd., Austin, Texas 78741",78741,6.92328838,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
210,-97.63244722,30.30139142,139,Colony District Park,"7400 Loyola Ln., Austin, Texas 78724",78724,91.79060585,,Open,District,no.jpg,https://www.austinparks.org/parks/
211,-97.6978925,30.24886297,140,Colorado River Park WIldlife Sanctuary,"5827 Levander Loop, Austin, Texas 78702",78702,42.51375225,,Open,Nature Preserve,no.jpg,https://www.austinparks.org/parks/
212,-97.77122219,30.27530868,158,Eilers (Deep Eddy) Neighborhood Park,"401 Deep Eddy Ave., Austin, Texas 78703",78703,9.72136733,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
213,-97.72216223,30.19498599,181,Jimmy Clay Golf Course,"5400 Jimmy Clay Dr., Austin, Texas 78744",78744,203.1186441,,Open_Fee,Golf Course,no.jpg,https://www.austinparks.org/parks/
214,-97.75059405,30.34507466,173,Gullett School Park,"3105 Hunt Trl., Austin, Texas 78757",78757,10.16790351,,Open,School,no.jpg,https://www.austinparks.org/parks/
215,-97.64239942,30.26294028,212,John Trevino Jr. Metro Park at Morrison Ranch,"9501 FM 969 Rd., Austin, Texas 78725",78725,320.1550715,,Open_Restricted,Metropolitan,no.jpg,https://www.austinparks.org/parks/
216,-97.73302897,30.33533837,170,Hall/Goodnight Planting Strip,"6305 Hall St., Austin, Texas 78757",78757,1.22998981,,Closed,Planting Strips/Triangles,no.jpg,https://www.austinparks.org/parks/
217,-97.61815748,30.35017361,176,Harris Branch Neighborhood Park,"11200 Farmhaven Rd., Austin, Texas 78754",78754,9.68473109,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
218,-97.75692168,30.2909852,253,Harris Triangle,"2409 Windsor Rd., Ausin, Texas 78703",78703,0.14748615,,Closed,Planting Strips/Triangles,no.jpg,https://www.austinparks.org/parks/
219,-97.80760219,30.17382249,203,Mary Moore Searight Metro Park,"907 W Slaughter Ln., Austin, Texas 78748",78748,342.2698435,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
220,-97.77230142,30.31278947,204,Mayfield House,"3805 W 35th St., Austin, Texas 78703",78703,2.93926625,,Open,Special,no.jpg,https://www.austinparks.org/parks/
221,-97.76510114,30.26495838,291,Butler Shores at Town Lake Metro Park,"200 S Lamar Blvd., Austin, Texas, 78704",78704,29.52684639,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
222,-97.69283581,30.33334923,303,Buttermilk Neighborhood Park,"7500 Blessing Ave., Austin, Texas 78752",78752,16.60250868,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
223,-97.74676312,30.24087577,120,Big Stacy Neighborhood Park,"700 E Live Oak St., Austin, Texas 78704",78704,4.45858012,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
224,-97.65344047,30.32831926,369,Big Walnut Creek Nature Preserve,"9221 E US 290 Hwy EB, Austin, Texas 78724",78724,43.73430771,,Closed,Nature Preserve,no.jpg,https://www.austinparks.org/parks/
225,-97.69613517,30.33367921,130,Buttermilk Branch Greenbelt,"7501 Bethune Ave., Austin, Texas, 78752",78752,4.00384587,,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
226,-97.80372768,30.18558988,150,Dittmar District Park,"1009 W Dittmar Rd., Austin, Texas 78748",78748,33.20699835,1985,Open,District,no.jpg,https://www.austinparks.org/parks/
227,-97.84719348,30.19083635,121,Blowing Sink Research Management Area,"3705 Deer Ln., Austin, Texas, 78749",78749,190.1385811,2000,Closed,Nature Preserve,no.jpg,https://www.austinparks.org/parks/
228,-97.76210988,30.3574758,151,Doss School Park,"7013 Northledge Dr., Austin, Texas 78731",78731,6.15077357,1975,Open,School,no.jpg,https://www.austinparks.org/parks/
229,-97.67601401,30.31469268,152,Dottie Jordan Neighborhood Park,"2803 Loyola Ln., Austin, Texas 78723",78723,11.29269234,1973,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
230,-97.69951806,30.27709849,393,Evergreen Cemetery,"3300 E 12th St., Austin, Texas 78721",78721,29.7245103,1925,Open_Restricted,Cemetery,no.jpg,https://www.austinparks.org/parks/
231,-97.70818907,30.29420114,243,"Burnett ""Blondie"" Pharr Tennis Center","4201 Brookview Rd. Austin, Texas 78722",78722,8.29025512,1941,Open,Special,no.jpg,https://www.austinparks.org/parks/
232,-97.74555131,30.24370038,122,Blunn Creek Greenbelt,"1901 East Side Dr., Austin, Texas 78704",78704,13.33355865,,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
233,-97.7376961,30.24553233,389,Blunn Creek Pocket Park,"1405 Kenwood Ave., Austin, Texas 78704",78704,1.25805215,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
234,-97.75162814,30.27389151,155,Duncan Neighborhood Park,"900 W 9th St., Austin, Texas 78701",78701,5.10832004,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
235,-97.71194182,30.268931,124,Boggy Creek Greenbelt,"1114 Nile St., Austin, Texas, 78702",78702,48.83035538,,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
236,-97.71156483,30.2660919,144,Conley-Guerrero Senior Activity Center,"808 Nile St., Austin, Texas 78702",78702,2.43782134,,Open,Special,no.jpg,https://www.austinparks.org/parks/
237,-97.82660863,30.1924668,160,Ellen Higgins Pocket Park,"2711 Cameron Loop, Austin, Texas 78745",78745,0.69465178,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
